img_paths,id,label,cell_type,patient,height,width,mean_brightness
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828414.jpg,13828414,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,204.7081955922865
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828371.jpg,13828371,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,194.42705081114173
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828375.jpg,13828375,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,199.19629119477605
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828478.jpg,13828478,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,198.0187582899704
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828494.jpg,13828494,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,183.6067722681359
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828485.jpg,13828485,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,205.57267370676462
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828402.jpg,13828402,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,202.76173349658197
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828444.jpg,13828444,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,195.00058157330884
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828474.jpg,13828474,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,200.7897561473319
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828460.jpg,13828460,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,201.82635445362718
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828457.jpg,13828457,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,197.01255739210285
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828477.jpg,13828477,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,201.7860039791858
../../data/PBC_dataset_APL_AML/Patient_48/Signed slides/Erythroblast/ERB_13828378.jpg,13828378,ERB,Erythroblast,PBC_dataset_APL_AML,363,360,191.98975359657177
