,label,origin,UMAP_1,UMAP_2,UMAP_3
19380,BA,raabin,12.87854,-10.802033,20.605452
18701,BA,barcelone,15.083066,-5.2336516,25.63879
18927,BA,barcelone,16.094751,-8.807835,24.76109
19259,BA,barcelone,16.249392,-6.1851573,27.002876
19902,BA,barcelone,13.751879,-4.9228854,25.766285
19553,BA,barcelone,14.864948,-5.4048905,25.325901
20069,BA,barcelone,14.904507,-6.036349,24.971142
19283,BA,barcelone,15.74566,-8.561122,25.380709
19190,BA,barcelone,12.422394,-6.006205,25.334019
20058,BA,barcelone,15.063534,-6.477567,27.855677
19090,BA,barcelone,15.785372,-5.5993867,26.567547
19851,BA,barcelone,13.172312,-5.3262014,26.578178
37522,BA,munich,14.488288,-9.276171,22.860037
37565,BA,munich,15.972838,-9.501482,24.438026
18797,BA,barcelone,17.274815,-7.917109,26.795172
19587,BA,barcelone,15.090208,-7.0525827,28.312624
18607,BA,barcelone,17.152548,-8.221224,26.23253
19519,BA,barcelone,15.529767,-5.2060585,26.018354
19058,BA,barcelone,14.790038,-7.1932645,28.509697
18712,BA,barcelone,15.60926,-5.3817344,25.930744
18642,BA,barcelone,12.82862,-6.080887,25.638346
18676,BA,barcelone,14.875699,-6.498109,25.495565
37544,BA,munich,15.0751295,-8.604706,24.230818
19887,BA,raabin,12.606869,-11.356679,20.171003
18606,BA,barcelone,17.025286,-9.507575,26.295826
19322,BA,barcelone,16.188782,-7.4629188,25.461926
19115,BA,barcelone,16.424809,-6.39259,25.363214
18745,BA,barcelone,15.339982,-7.019781,26.808086
18851,BA,barcelone,14.9130745,-8.9856415,27.573065
18848,BA,barcelone,14.362652,-8.636188,28.430784
20078,BA,barcelone,17.197584,-7.166313,26.678263
19998,BA,barcelone,12.675104,-6.8120294,25.186388
20001,BA,barcelone,15.801391,-5.2802444,26.394625
19063,BA,barcelone,15.829557,-7.2648993,25.388853
18828,BA,barcelone,16.790195,-8.251588,25.434013
18824,BA,barcelone,12.943907,-9.00869,26.281055
19786,BA,raabin,13.457821,-11.008815,19.737246
19800,BA,raabin,12.920222,-10.86976,19.509153
19514,BA,barcelone,14.518276,-5.1575775,25.626602
19491,BA,barcelone,14.383759,-6.1800895,25.299124
18971,BA,raabin,12.944343,-11.556857,20.07436
18600,BA,barcelone,15.734092,-6.584385,25.842188
19166,BA,barcelone,16.593561,-6.640013,27.276993
18609,BA,barcelone,14.221614,-5.2198935,25.373585
19060,BA,barcelone,16.609528,-7.812054,25.292141
18646,BA,raabin,12.3280735,-11.532054,20.175617
19083,BA,barcelone,16.555847,-5.838829,26.179497
19173,BA,barcelone,15.664833,-8.198102,26.927847
18999,BA,barcelone,15.886841,-5.541949,25.664398
19789,BA,raabin,12.659215,-10.904315,20.505564
18992,BA,barcelone,16.79061,-8.974014,25.815514
19269,BA,barcelone,13.689527,-7.9157276,28.049578
19866,BA,barcelone,16.406559,-7.61896,25.309183
19379,BA,barcelone,16.210304,-7.5156875,25.358845
18761,BA,barcelone,16.32161,-7.3317537,25.785599
19631,BA,barcelone,14.870639,-8.164063,28.129396
19436,BA,barcelone,13.372525,-5.295449,26.389702
19964,BA,barcelone,16.727627,-9.088867,26.935526
19860,BA,raabin,12.524827,-11.453082,20.173342
19423,BA,barcelone,16.666424,-7.592138,26.025732
19299,BA,barcelone,16.626677,-6.8865805,25.71208
19612,BA,raabin,12.236028,-11.437682,19.799446
18780,BA,barcelone,15.905623,-6.0809727,26.380722
18636,BA,barcelone,16.542055,-7.229722,25.344902
19394,BA,barcelone,17.080873,-8.212976,25.802124
19187,BA,raabin,13.443104,-11.138967,19.58078
19640,BA,barcelone,16.618452,-8.931016,25.529371
18875,BA,barcelone,16.015963,-5.779192,26.118895
19867,BA,barcelone,17.177263,-7.6120224,26.61851
18988,BA,raabin,12.442469,-11.601604,19.808168
19603,BA,raabin,13.206459,-11.531753,19.686676
18838,BA,raabin,13.367258,-11.261729,19.697958
18960,BA,barcelone,15.430777,-7.243489,28.214691
19679,BA,barcelone,14.744959,-5.371698,25.344679
19680,BA,barcelone,16.309322,-8.091788,25.533564
19106,BA,barcelone,15.391667,-8.048677,25.159586
19845,BA,raabin,13.129877,-11.669946,19.937172
19103,BA,barcelone,14.989482,-6.347452,26.935724
19728,BA,barcelone,14.995774,-6.3969007,27.80416
19806,BA,raabin,13.477601,-11.804447,20.146196
19358,BA,barcelone,16.662188,-9.035596,27.459726
19799,BA,barcelone,15.388242,-5.885346,25.618492
20041,BA,barcelone,13.877262,-8.6263,27.509249
19375,BA,barcelone,15.718122,-6.8091674,25.413078
18847,BA,barcelone,14.2634,-6.5979176,25.117992
19464,BA,barcelone,16.043608,-6.2678027,26.208668
19167,BA,raabin,13.156006,-11.7389,19.514475
